identifiant_id;nom_de_l_organisme;adresse_de_l_organisme;code_postal;commune;lien_vers_la_ressource;description_des_contenus_et_de_l_experience_proposes_min_200_max_500_caracteres;si_enfants_merci_de_preciser_le_niveau_scolaire;titre_de_la_ressource;activite_proposee_apprendre_se_divertir_s_informer;public_cible;types_de_ressources_proposees;thematiques;contenus_adaptes_aux_types_de_handicap;temps_d_activite_estime_lecture_ecoute_visionnage_jeu;accessibilite_perennite_de_la_ressource;rattachement_de_l_organisme;autre_precisez;si_limite_dans_le_temps_precisez_jusqu_a_quelle_date;autres_precisez;geolocalisation_ban
627;Archives municipales;18 boulevard Sérurier;75019;Paris;http://www.archives.paris.fr/r/145/expositions-virtuelles/;Les Archives de Paris vous ouvrent leurs portes virtuelles : plus de 10 millions d'images numérisées qui retracent l'histoire de Paris et de ses habitant·e·s sont accessibles en ligne. Ces archives sont classées en différentes rubriques : état civil, sources généalogiques complémentaires, fonds judiciaires, archives fiscales et documents iconographiques. La rubrique « offre éducative » peut également être explorée, notamment pour découvrir Des dossiers pédagogiques thématiques.;;L'histoire de Paris et de ses habitants à disposition de tous !;Approfondir ses connaissances;Tous publics;Ressources pédagogiques,Images, collections numérisées, bases de données,Expositions virtuelles;Architecture et patrimoine,Histoire;;Le temps d’une soirée;Accès permanent;Collectivité territoriale;;;;48.878038, 2.405808
630;Archives municipales;1, place des Archives;69002;Lyon;https://lyonnais.hypotheses.org/category/patrimoine;Un carnet, en ligne, pour regrouper une partie de la recherche amateur ou érudite lyonnaise. Patrimoine, culture, archives, événements, personnages... Des heures de #CulturezChezVous en perspective !;;Histoires lyonnaises;Approfondir ses connaissances;Tous publics;Images, collections numérisées, bases de données;Archives;;Le temps d’un vrai déjeuner;Accès permanent;Collectivité territoriale;;;;45.747797, 4.824627
636;Archives municipales;3 bis rue Bel-Orient;22000;Saint-Brieuc;http://archives.saint-brieuc.fr/r/4/archives-en-ligne/;"Archives en lignes (cartes et plans ; photos anciennes ; passeports intérieurs 1830-1839) / Expositions virtuelles / Parcours de visite / Aide aux généalogistes / On est toujours là ! : cahiers de jeux, puzzles, notices historiques";;Archives en ligne;Approfondir ses connaissances;Tous publics;Images, collections numérisées, bases de données,Ressources pédagogiques;Archives;;Le temps d’un vrai déjeuner;Accès permanent;Collectivité territoriale;;;;48.510681, -2.767847
640;Archives nationales;59 rue Guynemer;93383;Pierrefitte-sur-Seine;http://www.archives-nationales.culture.gouv.fr/fr/web/guest/visites-virtuelles;"Plongez dans les expositions des Archives nationales pour découvrir la scénographie et les documents comme si vous y étiez ! Retrouvez les expositions ""Quand les artistes dessinaient les cartes"" ou ""68, les archives du pouvoir"".";;Visites virutelles;Expos, musées;Tous publics;Expositions virtuelles;Histoire;;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;;48.948078, 2.364944
645;ART'M - Créateurs Associés;10 rue Marius Patinaud;42000;Saint-etienne;https://www.expoclock.org/;Toutes les formes de vie sur Terre sont cadencées par des mécanismes de mesure du temps qui leur permettent de s’adapter aux transformations de l’environnement pour en tirer le meilleur parti. L’exposition CLOCK est en France le premier projet d’envergure nationale qui présente au grand public les résultats de la recherche contemporaine sur les rythmes biologiques. Le visiteur accède à des contenus scientifiques à travers des jeux et des expériences.;;Clock - Les horloges du vivant;Expos, musées;Tous publics;Expositions virtuelles;Sciences;;Le temps d’un vrai déjeuner;Accès permanent;Organisme privé;;;;45.450974, 4.385472
649;ARTE;8 Rue Marceau;92130;Issy-les-Moulineaux;http://www.arte.tv/concert;<p>Pour tous ceux qui ne peuvent plus assister à des spectacles, l'offre musicale d'ARTE avec des centaines de concerts à travers l'Europe et le monde, des documentaires musicaux et de premiers projets de soutien à l'industrie culturelle européenne en ce temps de crise.</p>;;ARTE Concert;Concerts, spectacles;Tous publics;Vidéo, flux en direct, programmes en différé,Expositions virtuelles;Audiovisuel,Musique, concerts et opéras;;Toute une vie ne suffit pas;Accès permanent;Ministère de la Culture ou opérateur national;;;;48.826983, 2.271403
654;Association Enfance et Musique;17, rue Etienne Marcel;93500;Pantin;http://www.enfancemusique.asso.fr/culturecheznous/;<p>Enfance et Musique a le plaisir de rejoindre #Culturecheznous, avec des propositions en lien avec l’éveil culturel et artistique du tout-petit. Ces ressources sont à partager en famille avec les enfants. Elles peuvent bien sûr d’adresser également uniquement aux adultes, parents et professionnels, qui pourront découvrir ou retrouver des ressources !</p>;;#Culturecheznous;Films, documentaires, vidéos;Enfants;Ressources pédagogiques;Éducation artistique et culturelle;;Toute une vie ne suffit pas;Accès permanent;Organisme labellisé, conventionné ou subventionné par le ministère de la culture;;;;48.892809, 2.404548
657;Association Zebrock;2 rue Saint-Just;93130;Noisy-le-Sec;https://www.melo-app.com/;Entièrement gratuit, Mélo est un explorateur interactif de contenus musicaux interconnectés développé par l’association Zebrock. Mélo combine plusieurs fonctionnalités : une carte du monde interactive, une bibliothèque médias, un catalogue de notices et de parcours thématiques, un éditeur intégré pour créer ses propres contenus.;;Mélo, le média participatif autour de la musique et du monde;Actualités, débats;Tous publics;Création et pratiques artistiques;Musique, concerts et opéras;;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Organisme labellisé, conventionné ou subventionné par le ministère de la culture;;;;48.894902, 2.452203
661;Audiovisit;508 Avenue du 8 Mai 1945;69300;Caluire-et-Cuire;https://shows.acast.com/le-son-de-peinture?fbclid=IwAR3sSXmqRVyW-XltxR1Ml--LLl10XhlD_26j8ffnNdCVsUFpXDwIzZeSpQo;<p>350 chefs-d’œuvre de la peinture en 350 épisodes de 2 minutes ! 7 siècles d’histoire de la peinture au travers de 112 artistes dont : Modigliani, Renoir, Pissarro, Caravaggio, Friedrich, Monet, Velasquez, Degas, Manet, Delacroix, Picabia, Goya, Boucher, de la Tour, Courbet, David, van Eyck, Ingres, Fragonard, Turner, de Vinci, Cranach, Poussin, Véronèse, Cézanne, Gauguin, Klee, Rubens, Bonnard, Bruegel, Raphael, Rembrandt, Botticelli, Titien, van Gogh, Kandinsky…</p>;;Le son de peinture;Audios;Tous publics;Audio, radio, podcasts;Arts visuels,Musées,Peinture;;Le temps d’une soirée;Accès permanent;Organisme privé;;;;45.79528, 4.850877
662;Aware Women Artists;110 boulevard Saint Germain;75006;Paris;https://awarewomenartists.com/decouvrir/;Site dédié aux femmes artistes plasticiennes , à travers des portraits et des expositions virtuelles qui montrent l'importance de la création féminine de plus de 600 artistes.;;Femmes artistes;Actualités, débats;Tous publics;Création et pratiques artistiques;Arts visuels,Arts décoratifs, design, métiers d’art;;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Organisme privé;;;;48.851896, 2.341723
672;Bibliothèque nationale de France (BNF);Quai François Mauriac;75706;Paris;https://fantasy.bnf.fr/;<p>Un site pour découvrir et explorer le genre de la fantasy sous l'angle d'un double retour aux sources : en éclairant ce qu'il doit à la nostalgie d'un passé enchanté, et en mettant en valeur ses sources mythiques et historiques ainsi que ses multiples déclinaisons actuelles dans le cinéma, la musique, les jeux vidéos...</p>;;Fantasy;Approfondir ses connaissances;Tous publics;Ressources pédagogiques,Livres numériques,Jeux;Arts numériques,Arts visuels,Littérature, sciences humaines, langues;;Le temps d’une soirée;Accès permanent;Ministère de la Culture ou opérateur national;;;;48.833194, 2.378216
673;Bibliothèque nationale de France (BNF);Quai François Mauriac;75706;Paris;https://bdnf.bnf.fr/index.html#;BDnF – La fabrique à BD permet de réaliser des bandes dessinées ou tout autre récit multimédia mêlant illustration et texte. L’utilisateur dispose d’un accompagnement dans le processus de création d’une histoire en bande-dessinée, avec la possibilité de s’appuyer sur des corpus thématiques proposés par la BnF.;;BDnF, la fabrique à BD;Jeux;Tous publics;Jeux;Bande dessinée;;Le temps d’un vrai déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;;48.833194, 2.378216
674;Bibliothèque nationale de France (BNF);Quai François Mauriac;75706;Paris;http://expositions.bnf.fr;"Ce site donne accès à 98 expositions virtuelles classées en 6 galeries (Le livre et l’écrit, Ecrivains et conteurs, Histoire des représentations, Arts et architecture, Photographie, Cartes, plans et globes). Une occasion de retrouver les déclinaisons web des grandes expositions de la BnF comme ""Les Nadar, une légende photographique"".";;Expositions virtuelles;Expos, musées;Tous publics;Expositions virtuelles;Bande dessinée,Histoire,Littérature, sciences humaines, langues;;Toute une vie ne suffit pas;Accès permanent;Ministère de la Culture ou opérateur national;;;;48.833194, 2.378216
676;Bibliothèque nationale de France (BNF);Quai François Mauriac;75706;Paris;https://gallica.bnf.fr/html/und/presse-et-revues/presse-et-revues?mode=desktop&fbclid=IwAR0DP4W4kwieRKUKq-LFYW4IVVZwS-n0D2AYnolVL6G88mtl7ypj57s7WzY;Des sélections des titres de presse et de revues sont disponibles sur Gallica, organisés par types de publications (quotidiens, hebdomadaires, revues), par thématiques, par aires géographiques ou par périodes historiques.;;Gallica - Presses et revues;Actualités, débats;Tous publics;Livres numériques;Histoire,Littérature, sciences humaines, langues;;Toute une vie ne suffit pas;Accès permanent;Ministère de la Culture ou opérateur national;;;;48.833194, 2.378216
677;Bibliothèque nationale de France (BNF);Quai François Mauriac;75706;Paris;https://gallica.bnf.fr/conseils/content/photographie;Sur Gallica, découvrez la photographie à travers un choix de clichés mais aussi des  sélections qui vous permettent d’accéder à des corpus thématiques : ces ensembles proposent ainsi des photographies de 1839 à 1940 classées par procédé, collection ou photographe (Nadar, Le Gray, Atget, etc.), des images de sports, de spectacles ....;;Gallica - Photographie;Approfondir ses connaissances;Tous publics;Livres numériques;Histoire,Littérature, sciences humaines, langues;;Toute une vie ne suffit pas;Accès permanent;Ministère de la Culture ou opérateur national;;;;48.833194, 2.378216
685;Bibliothèque nationale de France (BNF);Quai François Mauriac;75706;Paris;https://cirque-cnac.bnf.fr/;Cette encyclopédie numérique des arts du cirque propose une découverte  des disciplines de cirque depuis les origines. Elle donne accès à une iconographie et des ressources en grande partie inédites et dessine un parcours qui va des pratiques lointaines jusqu'aux spectacles les plus  innovants et créatifs du cirque contemporain.;;Les arts du cirque : l'encyclopédie;Expos, musées;Tous publics;Expositions virtuelles;Arts du cirque, arts de la rue;;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;;48.833194, 2.378216
686;Bibliothèque nationale de France (BNF);Quai François Mauriac;75706;Paris;https://gallica.bnf.fr/html/und/videos/la-radio-television-scolaire?mode=desktop;Sélection de plus de 700 programmes de la « radio-télévision scolaire » produits entre 1954 à 2004. Ces émissions illustrent toutes les disciplines de l’enseignement scolaire (Philosophie, Histoire Géographie…). Sources historiques précieuses, elles sont les témoins d’expérimentations éducatives, de transformations de la société française de l’après-guerre et le symbole de l’ouverture culturelle.;;La radio-télévision scolaire;Films, documentaires, vidéos;Tous publics;Vidéo, flux en direct, programmes en différé;Audiovisuel;;Toute une vie ne suffit pas;Accès permanent;Ministère de la Culture ou opérateur national;;;;48.833194, 2.378216
691;Bibliothèque publique d'information;19 Rue Beaubourg;75004;Paris;https://webtv.bpi.fr/;Végétarisme, végétalisme, véganisme... quelles différences ? Comment les plantes collaborent ? Ce sont quelques-unes des questions auxquelles la webTV de la Bibliothèque publique d'information (BPI) du Centre Pompidou apporteront des réponses aux plus curieux.;;Balises, webTV de la BPI;Actualités, débats;Tous publics;Audio, radio, podcasts;Arts décoratifs, design, métiers d’art,Histoire,Sciences;;Le temps d’un vrai déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;;48.86329, 2.354619
694;Bibliothèques de Nancy;Médiathèque Manufacture 10 rue Baron Louis;54000;Nancy;https://www.youtube.com/channel/UCQZj29DO5bk-da6wINPnqYg/playlists;<p>Pendant le confinement, les bibliothécaires de Nancy vous proposent de partager des heures du conte, des lectures, des critiques de livres, de jeux vidéo, de films ...., ou des tutos. Des rendez-vous pour petits et grands.</p>;;La chaîne Youtube des Bibliothèques de Nancy;Audios;Tous publics;Vidéo, flux en direct, programmes en différé;Littérature, sciences humaines, langues;;Le temps de manger un sandwich pendant une pause déjeuner;Accès gratuit exceptionnel et limité dans le temps;Collectivité territoriale;;;;48.696148, 6.172556
695;Bretagne Culture Diversité;3 Bd Cosmao Dumanoir;56100;Lorient;http://bcd.bzh/becedia/fr;Bed (Bretagne et Diversité) rassemble, sur une même plateforme, des ressources audiovisuelles emblématiques de la diversité culturelle. Elle offre un accès facile aux images, mais aussi les documente, et informe sur les contextes de réalisation.;;Bretagne et Diversité;Films, documentaires, vidéos;Tous publics;Vidéo, flux en direct, programmes en différé;Audiovisuel,Histoire,Photographie;;Toute une vie ne suffit pas;Accès permanent;Organisme privé;;;;47.754827, -3.363818
697;YouTube;Youtube;75000;Paris;https://www.youtube.com/channel/UCKjDY4joMPcoRMmd-G1yz1Q;<p>La chaîne youtube qui te parle d'histoire autrement. C'est de l'histoire. Mais en drôle. C'est de l'histoire drôle. Et c'est plus drôle que cette blague. Dans la vraie vie en 3D, je suis docteure en histoire contemporaine et j'ai fait une thèse sur Athéna au XIXe siècle (parce que why not ?)</p>;;C'est une autre histoire;Films, documentaires, vidéos;Tous publics;Vidéo, flux en direct, programmes en différé;Architecture et patrimoine,Histoire;;Le temps d’une soirée;Accès permanent;Organisme privé;;;;47.251168, -1.517998
722;Centre Pompidou;Place Georges-Pompidou;75004;Paris;https://www.youtube.com/playlist?list=PL5RSjCvtcKQh_kfvu3LcjmSIQSEx4NHbY;Les visites des grandes expositions consacrées aux figures emblématiques de l’art moderne et contemporain, guidée directement par les commissaires du Centre Pompidou et les artistes. Comme si vous y étiez !;;Parcours d'exposition;Expos, musées;Tous publics;Vidéo, flux en direct, programmes en différé,Expositions virtuelles;Arts visuels;;Le temps d’un vrai déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;;48.860307, 2.351132
731;Chateau de Versailles;Place d'Armes;78000;Versailles;http://www.chateauversailles.fr/actualites/vie-domaine/versaillesvr-chateau-est-vous;<p>VersaillesVR : le Château est à vous permet d'explorer les Grands Appartements librement, de profiter de contenus culturels inédits et multimedia et de manipuler de nombreuses œuvres et pièces de mobilier d'art sous tous leurs angles.</p>;;VersaillesVR : le château est à vous !;Expos, musées;Tous publics;Expositions virtuelles;Architecture et patrimoine,Histoire,Monuments historiques,Parcs et jardins,Peinture;;Le temps d’un vrai déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;;50.959524, 1.850232
732;Château de Versailles;Place d'Armes;78000;Versailles;https://www.youtube.com/chateauversailles;<p>Bienvenue sur la chaîne du château de Versailles. Vous y trouverez des vidéos du Château et du domaine, avec visites des coulisses et présentation des grands événements. Vous y découvrirez également une sélection des vidéos des visiteurs. Cet espace est aussi le vôtre... à vos caméras et mobiles !</p>;;Chaîne Youtube;Films, documentaires, vidéos;Tous publics;Vidéo, flux en direct, programmes en différé;Architecture et patrimoine,Histoire,Parcs et jardins,Peinture;;Le temps d’un vrai déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;;50.959524, 1.850232
735;Cinémathèque de Bretagne;2 avenue Clémenceau;29200;Brest;https://www.cinematheque-bretagne.bzh/Base-documentaire-426-0-0-0.html;Plus de 6000 films numérisés. Une invitation à la découverte du patrimoine cinématographique et audiovisuel des cinq départements de la Bretagne historique. Ces films - essentiellement amateurs - ont été tournés en Bretagne ou par des bretons. Ils ont été collectés, documentés et numérisés par la Cinémathèque de Bretagne depuis sa création en 1986.;;Plus de 6000 films numérisés;Films, documentaires, vidéos;Tous publics;Vidéo, flux en direct, programmes en différé;Audiovisuel,Arts numériques;;Toute une vie ne suffit pas;Accès permanent;Organisme labellisé, conventionné ou subventionné par le ministère de la culture;;;;48.389053, -4.484356
737;Cinémathèque des Pays de Savoie et de l'Ain;12 bis route d'Annecy;74290;Veyrier-du-Lac;https://www.letelepherique.org/Films-526-0-0-0.html;Accès à près de 300 fiches film, 100 heures d'images, de la base de données en ligne de la Cinémathèque, en libre consultation. Des thématiques ciblées au service de notre mémoire collective vous font découvrir la région Rhône-Alpes au siècle passé en images.;;Catalogue en ligne;Films, documentaires, vidéos;Tous publics;Vidéo, flux en direct, programmes en différé;Audiovisuel,Cinéma;;Le temps d’un vrai déjeuner;Accès permanent;Organisme privé;;;;45.886573, 6.174586
739;CIRDOC-Institut occitan de cultura;1, bis bld Du Guesclin - BP 180;34503;Béziers;https://sondaqui.com/catalogue-regional;Vous souhaitez découvrir fêtes et musiques traditionnelles d'Aquitaine ? Vous êtes passionné.e de chants polyphoniques ou de musiques à bourdons ? Artiste, ou bien chercheur.se, vous cherchez à travailler à partir de documents d’archives ? Ecoutez librement les archives sonores mises à disposition par le CIRDOC-Institut occitan de cultura.;;Fêtes, chants, musiques et contes régionaux;Audios;Tous publics;Audio, radio, podcasts,Images, collections numérisées, bases de données,Création et pratiques artistiques;Architecture et patrimoine,Musique, concerts et opéras;;Toute une vie ne suffit pas;Accès permanent;Organisme labellisé, conventionné ou subventionné par le ministère de la culture;;;;43.345393, 3.223173
752;COLORS Urban Art;8 quai zorn;67000;Strasbourg;https://strasbourg.streetartmap.eu/;Carte interactive et participative qui vous permet de découvrir les meilleurs spots de street art et de graffiti sur l'Eurométropole de Strasbourg. StreetArtMap.eu référence les différents spots où vous pourrez trouver des œuvres dans la rue : Collage, Sticker, Fresque, Tag, Pochoir, Légal et même Vandal… Plus qu’une simple carte, cette « Outdoor Museum » dispose aussi d’un blog pour vous tenir informé de l’actualité street art et graffiti en Alsace.;;Street Art Map;Expos, musées;Tous publics;Expositions virtuelles;Art urbain (graph, hip hop, street art…);;Le temps d’une soirée;Accès permanent;Organisme privé;;;;48.588605, 7.759491
755;Communauté de communes du Haut-Béarn;12 place de Jaca CS20067;64400;Oloron-Sainte-Marie;https://bibliothequenumerique.pyreneesbearnaises.fr;Accessible au grand public, notre bibliothèque numérique propose de vous faire découvrir notre territoire et son identité grâce à des expositions virtuelles présentant des thématiques qui lui sont propres (villages de la communauté de communes du Haut-Béarn - [Pyrénées-Atlantiques] - histoire, patrimoine culturel immatériel...), collections numérisées de son patrimoine écrit, outils pédagogiques pour préparer une visite ou s'instruire;;Bibliothèque numérique des Pyrénées béarnaises;Approfondir ses connaissances;Tous publics;Images, collections numérisées, bases de données;Archives;;Le temps d’un vrai déjeuner;Accès permanent;Collectivité territoriale;;;;43.188981, -0.61146
759;Conseil d'Architecture, d'Urbanisme et de l'Environnement (CAUE) - Hauts-de-Seine;279 terrasse de l'universite;92000;Nanterre;https://www.caue92.fr/publications;Découverte architecturale et paysagère de plusieurs communes des Hauts-de-Seine. Ces informations sont proposées sous la forme de livret regroupant les lieux visités pendant les promenades organisées par le CAUE92.;;Livrets de visite;Approfondir ses connaissances;Tous publics;Livres numériques;Architecture et patrimoine;;Le temps d’un vrai déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;;48.898523, 2.21748
768;Département des Pyrénées-orientales;24 quai Sadi Carnot;66000;Perpignan;https://visitezlepayscatalan.fr/visite-virtuelle.html;<p>Châteaux et monuments, sites historiques, sites naturels, villages, patrimoine religieux,...</p>;;Visites virtuelles en pays catalan;Expos, musées;Tous publics;Expositions virtuelles;Architecture et patrimoine,Monuments historiques;;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Collectivité territoriale;;;;42.700031, 2.893436
770;Des Livres à Lire et à Entendre;11-13 rue Gracieuse;75005;Paris;http://www.litteratureaudio.com/;Rendre accessibles à tous les joies de la littérature : tel est le but de ce site internet, créé au sein de l'association Des Livres à Lire et à Entendre.Nos livres audio sont gratuits et téléchargeables au format mp3 pour que vous puissiez les écouter partout.;;Livres audio;Livres;Tous publics;Livres numériques;Littérature, sciences humaines, langues,Histoire;Transcription textuelle,Audiodescription (AD),Jeu utilisant du HTML,Navigation au clavier,Facile à lire et à comprendre (FALC),Langue des signes française (LSF),Sous-titrage (ST);Toute une vie ne suffit pas;Accès permanent;Organisme privé;;;;48.842316, 2.351414
779;Ecole du Louvre;Palais du Louvre Place du Carrousel, Porte Jaujard;75001;Paris;http://www.ecoledulouvre.fr/documentation/phototheque/expositions-virtuelles;Liste d'une centaine d'expositions virtuelles à travers le monde, sélectionnées et choisies par des maîtres de conférences de l'école du Louvre;;Expositions virtuelles;Expos, musées;Tous publics;Expositions virtuelles;Musées,Peinture,Sculpture;;Le temps d’un vrai déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;;48.861023, 2.333986
782;Ecole normale supérieure;45 rue d'ulm;75005;Paris;https://savoirs.ens.fr/recherche.php?rechercheTerme=Lundis+de+la+philosophie+%28Les%29;Plus de 175 conférences audio disponibles sur la philosophie : Le concept de bien, Les enjeux philosophiques de la question de la peine de mort,Sortir de l'Etat?, ...;;Les lundis de la philosophie;Approfondir ses connaissances;Tous publics;Audio, radio, podcasts;Histoire,Littérature, sciences humaines, langues;;Toute une vie ne suffit pas;Accès permanent;Organisme labellisé, conventionné ou subventionné par le ministère de la culture;;;;48.842294, 2.344285
795;Ensemble intercontemporain;223 Avenue Jean Jaurès;75019;Paris;https://www.youtube.com/channel/UChG_Nw7cR-2FeLjeVxIKPXg?view_as=subscriber;Accédez à des centaines de vidéos de concerts de musique du vingtième siècle à aujourd'hui interprétés par l’Ensemble intercontemporain ainsi qu'à des reportages, des séries de découverte de l'univers musical contemporain et beaucoup d’autres contenus.;;L'Ensemble intercontemporain chez vous;Concerts, spectacles;Tous publics;Vidéo, flux en direct, programmes en différé;Danse,Musique, concerts et opéras;;Le temps d’une soirée;Accès permanent;Ministère de la Culture ou opérateur national;;;;48.889377, 2.394072
