nom_du_jardin;code_postal;region;departement;adresse_complete;adresse_de_l_entree_du_public;numero_et_libelle_de_la_voie;complement_d_adresse;commune;code_insee;code_insee_departement;code_insee_region;latitude;longitude;site_internet_et_autres_liens;types;annee_d_obtention;description;auteur_nom_de_l_illustre;identifiant_deps;identifiant_origine;accessible_au_public;conditions_d_ouverture;equipement_precision;date_de_creation;date_de_maj;coordonnees_geographiques
Parc oriental;49360;Pays de la Loire;Maine-et-Loire;8 Pl. de la Mairie, 49360 Maulevrier, France;8 Pl. de la Mairie, 49360 Maulevrier, France;8 Pl. de la Mairie;;Maulevrier;49192;49;52.0;47.007509;-0.746048;"[""http://www.parc-oriental.com"", ""https://www.instagram.com/parcoriental/""]";Parc paysager,Jardin de collection,Jardin public;2004;"Jardin ""japonisant"" aménagé entre 1899 et 1913 par l'architecte Alexandre Marcel. Semblable au ""jardin de promenade et de transformation"" de la période Edo (XVIe-XVIIe siècle), le parc est remarquable autant par la qualité et la taille de ses végétaux que par la mise en scène des nombreuses fabriques jalonnant le ""parcours de la vie"" : pont, temple, lanterne, dont certaines, créés par Alexandre Marcel en béton armé, proviennent de l’exposition universelle de 1900.";;JARD_49192_0002;MHR_52_JR0006;[];[];;2020-09-15 18:16:00;2022-07-22 10:28:50;47.007509, -0.746048
Jardin Massey;65000;Occitanie;Hautes-Pyrénées;39 Rue Massey, 65000 Tarbes, France;39 Rue Massey, 65000 Tarbes, France;39 Rue Massey;;Tarbes;65440;65;76.0;43.237267;0.073967;"[""http://www.tarbes.fr""]";Jardin régulier,Parc paysager,Jardin de collection,Jardin public;2004;Parc public d'agrément de 11 hectares clôturé d'une grille monumentale sur 1,2 km de longueur. Romantique et paysager, ancienne propriété de Placide Massey, célèbre botaniste du XIXe siècle, aujourd'hui musée. Arboretum de plus de 5 000 arbres et arbustes du monde entier, collection de plantes succulentes, pièce d'eau, orangerie, serre, cloître médiéval, statuaire, musée. Paons, compositions florales.;;JARD_65440_0001;MHR_76_JR0023;[];[];monument historique;2020-12-11 13:14:35;2022-07-22 10:28:18;43.237267, 0.073967
Jardin de Paradis;81170;Occitanie;Tarn;5 Rue des Jardins, 81170 Cordes-sur-Ciel, France;5 Rue des Jardins, 81170 Cordes-sur-Ciel, France;5 Rue des Jardins;;Cordes-sur-Ciel;81069;81;76.0;44.06538;1.952759;"[""https://jardindesparadis.jimdo.com/"", ""https://www.facebook.com/jardin.desparadis""]";Jardin contemporain,Jardin vivrier,Jardin privé;2004;Jardin privé contemporain de 3 000 m2 aux influences orientales et médiévales. Tapis de fleurs, bananeraie, potager, bassins et jeux d'eau. Musée de la graine, cour des épices.;;JARD_81069_0001;MHR_76_JR0030;[];[];;2020-06-08 09:24:00;2022-07-22 10:28:09;44.06538, 1.952759
Jardin du Moulin Jaune;77580;Île-de-France;Seine-et-Marne;1 Sente du Moulin Nicole, 77580 Crécy-la-Chapelle, France;1 Sente du Moulin Nicole, 77580 Crécy-la-Chapelle, France;1 Sente du Moulin Nicole;;Crécy-la-Chapelle;77142;77;11.0;48.861694;2.889438;"[""https://moulinjaune.com/fr/"", ""https://www.facebook.com/lemoulinjaune/"", ""https://www.instagram.com/moulinjaune/"", ""https://www.youtube.com/c/moulinjaune""]";Jardin contemporain,Jardin privé;2015;Le long de la rivière du Grand Morin, le théâtre-jardin du Moulin Jaune propose un parcours enchanteur à travers les univers de son propriétaire, le clown russe Slava Polunin. Une succession d'univers oniriques célèbrent, avec créativité et poésie, la nature et une manière joyeuse d'aborder le quotidien. Accès sur inscription dans la limite des places disponibles.;;JARD_77142_0001;MHR_11_JR0017;[];[];;2020-12-11 13:15:13;2022-07-22 10:28:00;48.861694, 2.889438
Jardin des Sambucs;30570;Occitanie;Gard;Cluny La Geyre Vieille, 30570 Saint-André-de-Majencoules, France;Cluny La Geyre Vieille, 30570 Saint-André-de-Majencoules, France;Cluny La Geyre Vieille;;Saint-André-de-Majencoules;30229;30;76.0;44.021649;3.675687;"[""https://jardinsambucs.com/"", ""https://www.instagram.com/jardinsambucs/""]";Jardin contemporain,Jardin privé;2004;"Situé dans le parc national des Cévennes, ce jardin vit en bonne entente avec la nature. Les bassins de lotus et les œuvres d’art se complètent dans ce jardin simple.Accès handicapés prévu en partie.";;JARD_30229_0001;MHR_76_JR0008;[];[];;2020-06-08 09:24:00;2022-07-22 10:28:45;44.021649, 3.675687
Parc des ruines du château de Kintzheim;67600;Grand Est;Bas-Rhin;92 Rue de la Liberté, 67600 Kintzheim, France;92 Rue de la Liberté, 67600 Kintzheim, France;92 Rue de la Liberté;;Kintzheim;67239;67;44.0;48.251844;7.392131;"[""https://www.parcsetjardins.fr/jardins/781-parc-des-ruines-du-chateau-de-kintzheim""]";Parc paysager,Jardin privé;2006;La commune de Kintzheim propose au public à l'occasion de la manifestation nationale des Rendez-Vous aux Jardins la visite de son jardin médiéval, créé en 2011.;;JARD_67239_0001;MHR_44_JR0003;[];[];monument historique;2021-05-19 18:40:22;2022-07-22 10:27:54;48.251844, 7.392131
Jardins de Brocéliande;35310;Bretagne;Ille-et-Vilaine;275 La Grannelais, 35310 Bréal-sous-Montfort, France;275 La Grannelais, 35310 Bréal-sous-Montfort, France;275 La Grannelais;;Bréal-sous-Montfort;35037;35;53.0;48.061286;-1.867575;"[""http://www.jardinsdebroceliande.fr"", ""https://www.facebook.com/JardinsdeBroceliande/?ref=bookmarks"", ""https://www.instagram.com/jardinsdebroceliande/""]";Jardin contemporain,Jardin privé;2006;Contemplatifs et amoureux botanistes font ici l’expérience d’une diversité de couleurs et d’arômes, explorant collections florales, parcours sensoriels atypiques et jardins thématiques. Lieu d’insertion de personnes en situation de handicap. Nombreuses animations (24 ha).;;JARD_35037_0001;MHR_53_JR0017;[];[];;2020-06-08 09:24:00;2022-07-22 10:27:59;48.061286, -1.867575
Parc du château de Thoiry;78770;Île-de-France;Yvelines;7 Rue du Pavillon de Montreuil, 78770 Thoiry, France;7 Rue du Pavillon de Montreuil, 78770 Thoiry, France;7 Rue du Pavillon de Montreuil;;Thoiry;78616;78;11.0;48.864924;1.795838;"[""http://thoiry.net"", ""https://www.instagram.com/thoirychateau/""]";Jardin régulier,Jardin privé;2007;Architecture ésotérique de la Renaissance, pont transparent de lumière, qui avec ses parterres forment un calendrier solaire à l'échelle du paysage.;;JARD_78616_0001;MHR_11_JR0028;[];[];monument historique;2020-06-08 09:25:00;2022-07-22 10:28:00;48.864924, 1.795838
Jardins du phare de Chassiron;17650;Nouvelle-Aquitaine;Charente-Maritime;57 Rue de Chassiron au Bourg, 17650 Saint-Denis-d'Oléron, France;57 Rue de Chassiron au Bourg, 17650 Saint-Denis-d'Oléron, France;57 Rue de Chassiron au Bourg;;Saint-Denis-d'Oléron;17323;17;75.0;46.036486;-1.390161;"[""http://www.chassiron.net"", ""https://www.instagram.com/phare_de_chassiron_17/""]";Jardin régulier,Jardin contemporain,Jardin public;2008;La pointe nord de l'île d'Oléron abrite, au pied du phare de Chassiron, un jardin circulaire en forme de rose des vents. Il retrace l'histoire de la pointe ainsi que le passé maritime et agricole de l'île au travers de parterres de plantes, de potagers ou encore d'outils pédagogiques. Il a obtenu la médaille d'or des victoires du paysage 2008.;;JARD_17323_0001;MHR_75_JR0040;[];[];;;2022-07-22 10:28:05;46.036486, -1.390161
Parc de Majolan;33290;Nouvelle-Aquitaine;Gironde;123 Av. du Général de Gaulle, 33290 Blanquefort, France;123 Av. du Général de Gaulle, 33290 Blanquefort, France;123 Av. du Général de Gaulle;;Blanquefort;33056;33;75.0;44.923165;-0.634794;"[""https://bordeaux-et-vous.com/idees-de-sorties/parc-de-majolan/""]";Parc paysager,Jardin public;2010;Parc romantique du XIXe siècle réalisé par le paysagiste Le Breton. Rocailles, grottes, canyons, fausses ruines, ponts et embarcadère ponctuent un vaste parcours d’eau planté d’une grande variété d’essences.;;JARD_33056_0001;MHR_75_JR0022;[];[];monument historique;2020-12-11 13:15:28;2022-07-22 10:28:17;44.923165, -0.634794
Jardin de la ferme bleue;67110;Grand Est;Bas-Rhin;21 Rue Principale, 67110 Uttenhoffen, France;21 Rue Principale, 67110 Uttenhoffen, France;21 Rue Principale;;Uttenhoffen;67502;67;44.0;48.891741;7.655361;"[""http://www.jardinsdelafermebleue.com/""]";Jardin régulier,Jardin contemporain,Jardin privé;2006;Ferme badigeonnée au « Bleu de Hanau » typique de la région. Suite d’ambiances variées : cour d’entrée, jardin d’Orphée, gloriette, jardin régulier, tonnelle, topiaires, hêtrille taillée, allée italienne, jardin de cristal, lierre ciselé, bassin au pied de la tour, œuvres contemporaines. Endroit hors du temps à savourer encore ... au salon de thé. Jardin du 20e s., superficie 1700 m2.;;JARD_67502_0001;MHR_44_JR0009;[];[];;2020-06-08 09:25:00;2022-07-22 10:28:19;48.891741, 7.655361
Jardin médiéval du château;85390;Pays de la Loire;Vendée;Donjon Bazoges en Pareds, 12 Cr du Château, 85390 Bazoges-en-Pareds, France;Donjon Bazoges en Pareds, 85390 Bazoges-en-Pareds, France;Donjon Bazoges en Pareds;;Bazoges-en-Pareds;85014;85;52.0;46.656217;-0.915147;"[""http://www.bazoges-en-pareds.fr/""]";Jardin public;2018;Jardin constitué de 16 carrés avec en son centre un cadran solaire. Chaque carré est délimité par des fascines de châtaignier où l'on retrouve un potager, des plantes aromatique, médicinales et de sorcellerie. U triangle de fleurs et le verger complètent ce jardin. La visite comprend aussi un donjon restauré et meublé du XIVème siècle ainsi qu'un musée d'art et de tradition populaire (Fin XIXe - Début XXe siècle) avec un fournil et une forge.;;JARD_85014_0001;MHR_52_JR0021;"[""ouvert""]";"[""de jour""]";;2020-06-08 09:24:00;2022-12-21 12:22:34;46.656217, -0.915147
Parc de Valgenceuse;60300;Hauts-de-France;Oise;18 Rte de Nanteuil, 60300 Senlis, France;18 Rte de Nanteuil, 60300 Senlis, France;18 Rte de Nanteuil;;Senlis;60612;60;32.0;49.200799;2.601529;"[""http://www.valgenceuse.fr""]";Parc paysager,Jardin vivrier,Jardin privé;2004;Ce parc attribué à Le Nôtre propose de grandes terrasses, miroirs d’eau, buis tricentenaires, roseraie, plus de 45 variétés d’arbres référencées (tilleuls, érables, frênes, orangers, citronniers) et fut également au XIXe siècle, le théâtre de verdure d’écrivains comme Dumas Père & Fils, Alfred de Vigny, Gérard de Nerval. A voir aussi la collection d’outils de jardin anciens du musée Saint-Fiacre.;;JARD_60612_0001;MHR_32_JR0019;[];[];monument historique;2020-06-08 09:25:00;2022-07-22 10:27:58;49.200799, 2.601529
Jardin du musée de l'outil;95420;Île-de-France;Val-D'Oise;2 Rue de la Mairie, 95420 Wy-dit-Joli-Village, France;2 Rue de la Mairie, 95420 Wy-dit-Joli-Village, France;2 Rue de la Mairie;;Wy-dit-Joli-Village;95690;95;11.0;49.103109;1.835564;"[""https://www.valdoise.fr/610-musee-de-loutil.htm"", ""https://www.facebook.fr/musee.archeologique.valdoise""]";Jardin contemporain,Jardin vivrier,Jardin public;2019;Le musée de l'Outil et le jardin ont été créés par Claude Pigeard surnommé le « jardinier forgeron » et sa femme Françoise. Ce jardin a une superficie d’un peu plus de 1500 m² où fleurs, plantes, arbustes plantes médicinales et de nombreuses variétés de rosiers se côtoient. Il recèle une grande diversité. Ce jardin est ouvert au public dans le cadre de la visite du musée de l’outil et de visites scolaires. De nombreuses activités sont organisées autour du végétal.;;JARD_95690_0001;MHR_11_JR0039;"[""ouvert""]";"[""de jour""]";;;2022-12-19 18:30:55;49.103109, 1.835564
Parc de Chamarande;91730;Île-de-France;Essonne;38 Rue du Commandant Maurice Arnoux, 91730 Chamarande, France;38 Rue du Commandant Maurice Arnoux, 91730 Chamarande, France;38 Rue du Commandant Maurice Arnoux;;Chamarande;91132;91;11.0;48.513879;2.219021;"[""http://www.chamarande.essonne.fr""]";Parc paysager,Jardin public;2004;"Propriété du Conseil général de l'Essonne depuis 1978, le Domaine de Chamarande est classé au titre des monuments historiques. Dans les années 1990, plusieurs chantiers de réhabilitation sont menés. Le parc de 98 hectares est réaménagé par l'architecte paysagiste Jacques Sgard et, en 1999, les Archives départementales prennent place dans la cour et les ailes des communs du château. Le Département décide alors de consacrer l'ensemble du site à la culture et à la création. Lieu unique en Île-de-France, il réunit à la fois un centre artistique et culturel et un ensemble bâti dans un espace paysager labellisé ""Jardin remarquable"". Site patrimonial atypique, le Domaine de Chamarande est un équipement culturel phare du territoire essonnien, avec une programmation annuelle, et notamment une offre estivale pluridisciplinaire, les ""Scènes croisées"" et ""Chamarande Paradiso"". La gratuité d'accès au site - parc, activités, expositions, ateliers et spectacles - permet la rencontre avec un large public et favorise l’accès à la culture pour tous.";;JARD_91132_0001;MHR_11_JR0001;[];[];monument historique;;2022-07-22 10:27:59;48.513879, 2.219021
Jardin plume;76116;Normandie;Seine-Maritime;790 Rue de la Plaine, 76116 Auzouville-sur-Ry, France;790 Rue de la Plaine, 76116 Auzouville-sur-Ry, France;790 Rue de la Plaine;;Auzouville-sur-Ry;76046;76;28.0;49.435893;1.330054;"[""http://www.lejardinplume.com""]";Jardin régulier,Jardin contemporain,Jardin de collection,Jardin privé;2006;Jardin créé sur un ancien verger normand. Divers jardins rythmés par les saisons mettent en scène plantes vivaces et graminées dans une approche très contemporaine.;;JARD_76046_0001;MHR_28_JR0030;[];[];;2020-12-11 13:14:04;2022-07-22 10:28:02;49.435893, 1.330054
Jardin des simples de l'abbaye de Daoulas;29460;Bretagne;Finistère;21 Rue de l'Église, 29460 Daoulas, France;21 Rue de l'Église, 29460 Daoulas, France;21 Rue de l'Église;;Daoulas;29043;29;53.0;48.3619807;-4.2660561;"[""http://www.daoulas.bzh""]";Jardin d'inspiration médiévale,Jardin contemporain,Jardin public;2012;Le parc départemental de l'abbaye de Daoulas offre de nombreuses découvertes, les vestiges restaurés de l'abbaye romane, l'oratoire et sa fontaine du 16e siècle et plusieurs jardins dont celui des simples qui présente, sur deux terrasses, plus de 250 espèces de plantes médicinales des cinq continents.;;JARD_29043_0001;MHR_53_JR0012;[];[];;2020-06-09 16:38:00;2022-10-07 22:28:25;48.3619807, -4.2660561
Parc du château de Canon;14270;Normandie;Calvados;D252, 14270 Mézidon Vallée d'Auge, France;D252, 14270 Mézidon Vallée d'Auge, France;D252;;Mézidon Vallée d'Auge;14431;14;28.0;49.064886;-0.078904;"[""http://www.chateaudecanon.com"", ""https://www.instagram.com/chateau_de_canon/""]";Jardin régulier,Parc paysager,Jardin privé;2004;"Parc et jardins anglo français.Jardins conservés intacts depuis le XVIIIe siècle.Fabriques du XVIIIe siècle.Jardin de Transition : Cour d’honneur à la Française et parc à l’anglaiseJardins clos fleuris en enfilade : les Chartreuses.";;JARD_14431_0001;MHR_28_JR0005;[];[];monument historique;;2022-07-22 10:28:01;49.064886, -0.078904
Jardin du Prieuré;10210;Grand Est;Aube;6 Rue du Huit Mai 1945, 10210 Pargues, France;6 Rue du Huit Mai 1945, 10210 Pargues, France;6 Rue du Huit Mai 1945;;Pargues;10278;10;44.0;48.032497;4.197978;"[""https://www.parcsetjardins.fr/jardins/1072-jardin-du-prieure""]";Jardin contemporain,Jardin privé;2008;Petit jardin de roses anciennes et de vivaces lové au pied de l’abside d’une église édifiée à la Renaissance.;;JARD_10278_0001;MHR_44_JR0018;[];[];;2020-12-11 13:14:39;2022-07-22 10:28:08;48.032497, 4.197978
Domaine de Brantes;84700;Provence-Alpes-Côte d'Azur;Vaucluse;441 Chem. Brantes, 84700 Sorgues, France;441 Chem. Brantes, 84700 Sorgues, France;441 Chem. Brantes;;Sorgues;84129;84;93.0;44.001566;4.876508;"[""https://www.jardindebrantes.com"", ""https://www.facebook.com/jardindebrantes/""]";Jardin régulier,Jardin privé;2005;D’inspiration italienne, le Jardin de Brantes se déploie autour de ses 3 bassins miroirs irrigués par l'eau de la Sorgue, à l'ombre de son magnolia grandiflora bicentenaire (6 m de circonférence) et exhale une sérénité appréciée au coeur d'un environnement contemporain.;;JARD_84129_0001;MHR_93_JR0042;[];[];monument historique;2020-12-11 13:16:17;2022-07-22 10:28:23;44.001566, 4.876508
Jardin du château de Digeon;80290;Hauts-de-France;Somme;15 Rte du Coq Gaulois, 80290 Morvillers-Saint-Saturnin, France;15 Rte du Coq Gaulois, 80290 Morvillers-Saint-Saturnin, France;15 Rte du Coq Gaulois;;Morvillers-Saint-Saturnin;80573;80;32.0;49.764442;1.796911;"[""http://jardinfloralgoisque.free.fr/""]";Parc paysager,Jardin vivrier,Jardin privé;2004;Parc à l’anglaise, jardin potager à la française, jardins de roses et arbres remarquables (séquoias et ginkgo centenaires) : divers univers proposés sur 2,5 hectares… collection et un sentier botanique;;JARD_80573_0001;MHR_32_JR0025;[];[];monument historique;2020-06-08 09:24:00;2022-07-22 10:27:59;49.764442, 1.796911
Jardin et arboretum de Coursiana;32480;Occitanie;Gers;2 Rue du Dr Lucante, 32480 La Romieu, France;2 Rue du Dr Lucante, 32480 La Romieu, France;2 Rue du Dr Lucante;;La Romieu;32345;32;76.0;43.98134;0.499098;"[""http://www.jardinsdecoursiana.com"", ""https://www.facebook.com/JardinsdeCoursiana/?ref=bookmarks"", ""https://www.youtube.com/watch?v=huGt4UdAfqw""]";Parc paysager,Jardin de collection,Jardin privé;2006;Un petit paradis privé sur 6 hectares vallonés : jardin à l'anglaise, arboretum (plus de 700 essences), potager familial, jardin de plantes médicinales, aromatiques et à parfum. Collection de plus de 350 rosiers. Vue imprenable sur la collégiale de La Romieu.;;JARD_32345_0001;MHR_76_JR0020;[];[];;2020-06-08 09:25:00;2022-07-22 10:28:08;43.98134, 0.499098
